// This is a generated file, do not change manually!

# internal name   | gcid | ocid(de) | acode | ocid(pl) | ocid(nl) | ocid(ro) | ocid(uk) | ocid(us) |
                  |    0 |        6 |     1 |        0 |      106 |      106 |      106 |      106 |
                  |    0 |        0 |     2 |      208 |      208 |      208 |        0 |      208 |
                  |    0 |        0 |     3 |      209 |        0 |      209 |        0 |        0 |
                  |    0 |        8 |     4 |      108 |      108 |      108 |      108 |      108 |
                  |    0 |        0 |     5 |      202 |      202 |      202 |        0 |      202 |
                  |    0 |        0 |     6 |      204 |      204 |      204 |        0 |      204 |
                  |    0 |        0 |     7 |      205 |      205 |      205 |        0 |      205 |
                  |    0 |        0 |     8 |      206 |        0 |      206 |        0 |      206 |
                  |   60 |        0 |     9 |       60 |       60 |       60 |        0 |       60 |
                  |    0 |        0 |    10 |      207 |      207 |      207 |        0 |        0 |
                  |    0 |       31 |    11 |        0 |        0 |        0 |        0 |        0 |
                  |    0 |       32 |    12 |        0 |        0 |        0 |        0 |        0 |
                  |    0 |       57 |    13 |        0 |        0 |        0 |        0 |        0 |
                  |    0 |       54 |    14 |        0 |        0 |        0 |        0 |        0 |
                  |   47 |       55 |    15 |        0 |        0 |       47 |       47 |        0 |
                  |    0 |       56 |    16 |        0 |        0 |        0 |        0 |        0 |
                  |    0 |       58 |    17 |        0 |        0 |        0 |        0 |        0 |
                  |   24 |       63 |    18 |       24 |       24 |       24 |       24 |       24 |
                  |   53 |       24 |    19 |        0 |        0 |        0 |       53 |        0 |
                  |    0 |        0 |    20 |      213 |      213 |      213 |      213 |      213 |
                  |    9 |       25 |    21 |        0 |        9 |        9 |        9 |        0 |
                  |   11 |       26 |    22 |        0 |        0 |        0 |       11 |        0 |
                  |    0 |       27 |    23 |        0 |        0 |        0 |      127 |        0 |
                  |   10 |       28 |    24 |        0 |        0 |       10 |       10 |        0 |
                  |   12 |       29 |    25 |        0 |        0 |        0 |       12 |        0 |
                  |    2 |       36 |    26 |        2 |        0 |        2 |        2 |        2 |
                  |   32 |        0 |    27 |       32 |       32 |       32 |       32 |        0 |
                  |    0 |        0 |    28 |      210 |      210 |      210 |        0 |      210 |
                  |    0 |        0 |    29 |      211 |      211 |      211 |        0 |      211 |
                  |    0 |       30 |    30 |        0 |        0 |        0 |      130 |        0 |
                  |    0 |       33 |    31 |        0 |        0 |      133 |      133 |        0 |
                  |    0 |       34 |    32 |        0 |        0 |      134 |      134 |        0 |
                  |   25 |       18 |    33 |        0 |       25 |       25 |       25 |        0 |
                  |   26 |       19 |    34 |        0 |        0 |        0 |       26 |        0 |
                  |   27 |       20 |    35 |        0 |        0 |       27 |       27 |        0 |
                  |   28 |       21 |    36 |        0 |        0 |        0 |       28 |        0 |
                  |   29 |       22 |    37 |        0 |        0 |        0 |        0 |        0 |
                  |    0 |       23 |    38 |        0 |        0 |        0 |      123 |        0 |
                  |   13 |       38 |    39 |        0 |       13 |        0 |       13 |        0 |
                  |   13 |       39 |    40 |        0 |     9013 |     9013 |     9013 |     9013 |
                  |   14 |       40 |    41 |        0 |        0 |        0 |     9014 |        0 |
                  |   14 |        0 |    42 |       14 |       14 |       14 |        0 |        0 |
                  |   52 |        1 |    43 |        0 |        0 |       52 |       52 |       52 |
                  |   62 |       42 |    44 |        0 |        0 |        0 |     9062 |        0 |
                  |   62 |       60 |    45 |        0 |        0 |        0 |        0 |        0 |
                  |    0 |       43 |    46 |        0 |        0 |        0 |      143 |        0 |
                  |   15 |       44 |    47 |        0 |        0 |        0 |       15 |       15 |
                  |    0 |       41 |    48 |        0 |        0 |        0 |      142 |        0 |
                  |    0 |       47 |    49 |      147 |      147 |      147 |      147 |      147 |
                  |    0 |        0 |    50 |      203 |      203 |      203 |      203 |      203 |
                  |    0 |        0 |    51 |      212 |      212 |      212 |        0 |        0 |
                  |   44 |       48 |    52 |       44 |       44 |       44 |       44 |       44 |
