# Definitions for attributes:
# - internal name: used as
#   a) for GC caches this is the ID with which it is found in c:geo
#   b) name of string, prefixed with "attribute_"
#   c) name of icon, prefixed with "attribute_"
# - gcid: id used in groundspeak GPX files
# - ocid: opencaching.de id
# - acode: opencaching okapi a-code
# - man: graphic is selfmade or overhauled
# - license: type of license
# - copyright holder: Name of person
# - URL: icon is based on graphic downloadable here
#
# No blank lines! Use # for comments
# No reordering! This will mess up the scripts checking for missing localized strings
#
# internal name   | gcid | ocid | acode | man | license  | copyright holder                      | URL
dogs              |   1  |      |    85 |     | PD       |                                       | http://thenounproject.com/noun/dog/#icon-No364
bicycles          |  32  |      |    27 |  x  | PD       |                                       | http://thenounproject.com/noun/bicycle/#icon-No536
motorcycles       |  33  |      |       |     | PD       |                                       | http://thenounproject.com/noun/motorcycle/#icon-No53
quads             |  34  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/4-wheeler/#icon-No228
jeeps             |  35  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/jeep/#icon-No57
snowmobiles       |  36  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/snowmobile/#icon-No505
horses            |  37  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/horseback-trail/#icon-No329
campfires         |  38  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/campfire/#icon-No196
rv                |  46  |      |    86 |     | PD       | USA National Park Service             | http://thenounproject.com/noun/camper/#icon-No86
kids              |   6  |  59  |    71 |  x  | PD       |                                       | http://thenounproject.com/noun/teddy-bear/#icon-No6843
onehour           |   7  |      |       |  x  | CC0      | The Noun Project                      | http://thenounproject.com/noun/clock/#icon-No2306
scenic            |   8  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/binoculars/#icon-No112
hiking            |   9  |  25  |    21 |     | PD       | USA National Park Service             | http://thenounproject.com/noun/hiker/#icon-No562
climbing          |  10  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/climbing/#icon-No526
wading            |  11  |      |       |  x  | PD       | USA National Park Service             | http://thenounproject.com/noun/wading/#icon-No581
