# Definitions for attributes:
# - internal name: used as 
#   a) for GC caches this is the ID with which it is found in c:geo
#   b) name of string, prefixed with "attribute_"
#   c) name of icon, prefixed with "attribute_"
# - gcid: id used in groundspeak GPX files
# - ocid: opencaching id
# - man: graphic is selfmade or overhauled
# - license: type of license
# - copyright holder: Name of person
# - URL: icon is based on graphic downloadable here
#
# No blank lines! Use # for comments
# No reordering! This will mess up the scripts checking for missing localized strings
#
# internal name   | gcid | ocid | man | license | copyright holder | URL
dogs              |   1  |      |     | PD      |                           | http://thenounproject.com/noun/dog/#icon-No364
bicycles          |  32  |      |  x  | PD      |                           | http://thenounproject.com/noun/bicycle/#icon-No536
motorcycles       |  33  |      |     | PD      |                           | http://thenounproject.com/noun/motorcycle/#icon-No53
quads             |  34  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/4-wheeler/#icon-No228
jeeps             |  35  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/jeep/#icon-No57
snowmobiles       |  36  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/snowmobile/#icon-No505
horses            |  37  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/horseback-trail/#icon-No329
campfires         |  38  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/campfire/#icon-No196
rv                |  46  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/camper/#icon-No86
kids              |   6  |  59  |  x  | PD      |                           | http://thenounproject.com/noun/teddy-bear/#icon-No6843
onehour           |   7  |      |  x  | CC0     | The Noun Project          | http://thenounproject.com/noun/clock/#icon-No2306
scenic            |   8  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/binoculars/#icon-No112
hiking            |   9  |  25  |     | PD      | USA National Park Service | http://thenounproject.com/noun/hiker/#icon-No562
climbing          |  10  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/climbing/#icon-No526
wading            |  11  |      |  x  | PD      | USA National Park Service | http://thenounproject.com/noun/wading/#icon-No581
swimming          |  12  |  29  |     | PD      | USA National Park Service | http://thenounproject.com/noun/swimming/#icon-No226
available         |  13  |  38  |  x  | PD      | koem                      | selfmade
night             |  14  |      |     | PD      |                           | http://thenounproject.com/noun/moon/#icon-No128
winter            |  15  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/snow/#icon-No64
stealth           |  40  |      |  x  | PD      | Celine                    | http://www.specialweb.com/original/icons4.html
firstaid          |  42  |      |     | PD      | Roger Cook, Dan Shanosky  | http://thenounproject.com/noun/first-aid/#icon-No535
cow               |  43  |      |     | PD      |                           | http://www.openclipart.org/people/Anonymous/mucca.svg
field_puzzle      |  47  |      |  x  | PD      | nicubunu                  | http://www.openclipart.org/detail/15169/red-jigsaw-piece-13-by-nicubunu http://thenounproject.com/noun/running/#icon-No246
nightcache        |  52  |   1  |  x  | PD      |                           | http://thenounproject.com/noun/moon/#icon-No128
parkngrab         |  53  |  24  |  x  | PD      | Roger Cook, Don Shanosky  | http://thenounproject.com/noun/parking/#icon-No27
abandonedbuilding |  54  |      |  x  | CC0     |                           | http://thenounproject.com/noun/house/#icon-No4399
hike_short        |  55  |      |  x  | PD      | koem                      | selfmade
hike_med          |  56  |      |  x  | PD      | koem                      | selfmade
hike_long         |  57  |      |  x  | PD      | koem                      | selfmade
seasonal          |  62  |  60  |  x  | PD      | USA National Park Service | http://thenounproject.com/noun/sun/#icon-No76 http://thenounproject.com/noun/snow/#icon-No64
touristok         |  63  |      |     | PD      | Roger Cook, Don Shanosky  | http://thenounproject.com/noun/baggage/#icon-No12
frontyard         |  65  |      |  x  | PD      | koem                      | selfmade
teamwork          |  66  |      |     | CC0     | riyazali                  | http://thenounproject.com/noun/group/#icon-No9477
landf             |  45  |      |  x  | PD      | koem                      | selfmade
partnership       |  61  |      |     | CC0     | United Nations OCHA       | http://thenounproject.com/noun/partnership/#icon-No4203
fee               |   2  |  36  |  x  | PD      | koem                      | selfmade
rappelling        |   3  |  49  |     | PD      | USA National Park Service | http://thenounproject.com/noun/rock-climbing/#icon-No529
boat              |   4  |  52  |     | PD      | USA National Park Service | http://thenounproject.com/noun/motorboat/#icon-No661
scuba             |   5  |  51  |     | PD      | USA National Park Service | http://thenounproject.com/noun/scuba-diving/#icon-No242
flashlight        |  44  |  48  |  x  | PD      | koem                      | selfmade
uv                |  48  |      |  x  | PD      | koem                      | selfmade
snowshoes         |  49  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/snow-shoeing/#icon-No388
skiis             |  50  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/cross-country-skiing/#icon-No510
s_tool            |  51  |  46  |  x  | CC0     | Jacob Hardbower           | http://thenounproject.com/noun/tools/#icon-No4684
wirelessbeacon    |  60  |      |  x  | PD      |                           | http://thenounproject.com/noun/non-ionizing-radiation/#icon-No277
treeclimbing      |  64  |      |     | CC0     | Ryan Oksenhorn            | http://thenounproject.com/noun/tree/#icon-No947
poisonoak         |  17  |  16  |  x  | PD      | koem                      | selfmade
dangerousanimals  |  18  |  17  |     | PD      | USA National Park Service | http://thenounproject.com/noun/snake/#icon-No201
